datetime,wattage,sunlight
08/01/2016 00:00:00,1.348,2
08/01/2016 01:00:00,1.527,2
08/01/2016 02:00:00,1.555,2
08/01/2016 03:00:00,1.541,2
08/01/2016 04:00:00,1.542,116
08/01/2016 05:00:00,2.71,2
08/01/2016 06:00:00,2.413,2
08/01/2016 07:00:00,2.118,670
08/01/2016 08:00:00,2.782,16
08/01/2016 09:00:00,2.706,106
08/01/2016 10:00:00,2.885,563
08/01/2016 11:00:00,3.517,683
08/01/2016 12:00:00,3.725,732
08/01/2016 13:00:00,4.355,354
08/01/2016 14:00:00,3.7,453
08/01/2016 15:00:00,3.561,79
08/01/2016 16:00:00,2.984,197
08/01/2016 17:00:00,2.272,578
08/01/2016 18:00:00,1.524,253
08/01/2016 19:00:00,1.926,58
08/01/2016 20:00:00,2.032,626
08/01/2016 21:00:00,1.933,2
08/01/2016 22:00:00,2.863,2
08/01/2016 23:00:00,1.491,2
08/02/2016 00:00:00,1.053,2
08/02/2016 01:00:00,1.259,2
08/02/2016 02:00:00,1.235,116
08/02/2016 03:00:00,1.238,2
08/02/2016 04:00:00,0.951,116
08/02/2016 05:00:00,2.616,2
08/02/2016 06:00:00,1.365,2
08/02/2016 07:00:00,1.565,337
08/02/2016 08:00:00,2.765,834
08/02/2016 09:00:00,3.452,123
08/02/2016 10:00:00,3.812,224
08/02/2016 11:00:00,3.845,547
08/02/2016 12:00:00,4.111,873
08/02/2016 13:00:00,3.391,884
08/02/2016 14:00:00,4.026,807
08/02/2016 15:00:00,3.924,725
08/02/2016 16:00:00,3.371,255
08/02/2016 17:00:00,2.848,121
08/02/2016 18:00:00,2.066,452
08/02/2016 19:00:00,1.975,275
08/02/2016 20:00:00,1.724,194
08/02/2016 21:00:00,1.766,116
08/02/2016 22:00:00,2.495,2
08/02/2016 23:00:00,1.737,116
08/03/2016 00:00:00,1.465,116
08/03/2016 01:00:00,1.623,2
08/03/2016 02:00:00,1.548,116
08/03/2016 03:00:00,1.526,116
08/03/2016 04:00:00,1.543,2
08/03/2016 05:00:00,2.67,116
08/03/2016 06:00:00,1.825,116
08/03/2016 07:00:00,2.019,227
08/03/2016 08:00:00,3.938,471
08/03/2016 09:00:00,4.189,148
08/03/2016 10:00:00,4.078,514
08/03/2016 11:00:00,4.421,634
08/03/2016 12:00:00,3.724,771
08/03/2016 13:00:00,4.414,690
08/03/2016 14:00:00,4.594,928
08/03/2016 15:00:00,3.989,767
08/03/2016 16:00:00,3.996,865
08/03/2016 17:00:00,2.88,592
08/03/2016 18:00:00,1.905,9
08/03/2016 19:00:00,1.98,201
08/03/2016 20:00:00,2.07,117
08/03/2016 21:00:00,2.77,116
08/03/2016 22:00:00,1.949,2
08/03/2016 23:00:00,1.536,116
08/04/2016 00:00:00,1.346,116
08/04/2016 01:00:00,1.533,2
08/04/2016 02:00:00,1.55,2
08/04/2016 03:00:00,1.542,2
08/04/2016 04:00:00,1.542,2
08/04/2016 05:00:00,2.623,2
08/04/2016 06:00:00,2.362,2
08/04/2016 07:00:00,2.057,227
08/04/2016 08:00:00,2.858,282
08/04/2016 09:00:00,3.885,915
08/04/2016 10:00:00,4.571,113
08/04/2016 11:00:00,4.035,401
08/04/2016 12:00:00,4.227,229
08/04/2016 13:00:00,3.489,51
08/04/2016 14:00:00,3.425,323
08/04/2016 15:00:00,3.492,397
08/04/2016 16:00:00,2.917,465
08/04/2016 17:00:00,2.334,502
08/04/2016 18:00:00,1.615,144
08/04/2016 19:00:00,1.947,33
08/04/2016 20:00:00,1.959,50
08/04/2016 21:00:00,2.296,2
08/04/2016 22:00:00,2.436,2
08/04/2016 23:00:00,1.768,2
08/05/2016 00:00:00,1.183,2
08/05/2016 01:00:00,1.357,2
08/05/2016 02:00:00,1.381,2
08/05/2016 03:00:00,1.39,2
08/05/2016 04:00:00,1.369,2
08/05/2016 05:00:00,1.362,2
08/05/2016 06:00:00,1.373,116
08/05/2016 07:00:00,2.32,448
08/05/2016 08:00:00,3.124,548
08/05/2016 09:00:00,4.099,15
08/05/2016 10:00:00,3.346,154
08/05/2016 11:00:00,3.219,120
08/05/2016 12:00:00,2.744,531
08/05/2016 13:00:00,2.889,507
08/05/2016 14:00:00,2.949,920
08/05/2016 15:00:00,2.772,933
08/05/2016 16:00:00,2.983,788
08/05/2016 17:00:00,1.839,514
08/05/2016 18:00:00,1.419,416
08/05/2016 19:00:00,1.609,537
08/05/2016 20:00:00,1.482,16
08/05/2016 21:00:00,1.379,1
08/05/2016 22:00:00,1.359,2
08/05/2016 23:00:00,1.379,2
08/06/2016 00:00:00,1.181,116
08/06/2016 01:00:00,1.386,2
08/06/2016 02:00:00,1.299,2
08/06/2016 03:00:00,0.945,2
08/06/2016 04:00:00,0.948,2
08/06/2016 05:00:00,0.963,2
08/06/2016 06:00:00,0.937,2
08/06/2016 07:00:00,0.947,448
08/06/2016 08:00:00,0.95,44
08/06/2016 09:00:00,0.961,261
